,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Cation,Anion_1,Anion_2,Phase_index,Cation_negativity,Anion_1_negativity,Anion_2_negativity,Cation_mass,Anion_1_mass,Anion_2_mass,Cation_atomic_radius,Anion_1_atomic_radius,Anion_2_atomic_radius,a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom)
85,InOBr_0,InOBr,2.2902173913,-4.35058333333,-2.06041666667,3.58506666667,-5.29941935484,-1.7215806451599998,2.87052558895,-7.221108922280001,-4.93094225562,2.87217021492,-8.17158956976,-4.59375086008,In,O,Br,0,1.7,3.5,2.8,114.818,15.9994,79.504,156.0,48.0,94.0,4.14756261667,3.6847432073000004,24.264390035,89.72228494229999,89.9850980052,89.99098560610001,-4.33813616667
86,InOBr_1,InOBr,0.0,-3.04386025,-3.04386025,0.0,-3.44776284,-3.44776284,2.77932558314,-5.82318583314,-5.82318583314,2.88595686152,-6.33371970152,-6.33371970152,In,O,Br,1,1.7,3.5,2.8,114.818,15.9994,79.504,156.0,48.0,94.0,3.59663862244,3.59663862244,18.3463943719,89.9952196407,89.9952196407,59.8483143075,-3.99720733333
87,InOI_0,InOI,1.2458313253,-2.49837125749,-1.25262874251,2.4035,-3.32104761905,-0.927952380952,3.38051898603,-5.87889024352,-4.63314772854,3.37894710102,-6.69999472007,-4.306899481972,In,O,I,0,1.7,3.5,2.5,114.818,15.9994,126.90447,156.0,48.0,115.0,4.12987111133,3.8606651942699997,24.583406768099998,89.81269785049999,89.95499404889999,89.9964728166,-4.10475816667
88,InOI_1,InOI,0.0,-1.61537475,-1.61537475,0.0,-1.65563456,-1.65563456,3.13800493284,-4.75337968284,-4.75337968284,3.22027218745,-4.87590674745,-4.87590674745,In,O,I,1,1.7,3.5,2.5,114.818,15.9994,126.90447,156.0,48.0,115.0,3.66010002682,3.66010002682,18.3738103042,89.9807590283,89.9807590283,60.236393176199996,-3.78694166667
89,InSCl_0,InSCl,2.27241758242,-5.94519178082,-3.6728082191800002,3.57938888889,-6.95164864865,-3.3773513513499998,1.89483409982,-7.84002588064,-5.567642319,1.90932638553,-8.86097503418,-5.28667773688,In,S,Cl,0,1.7,2.5,3.0,114.818,32.066,35.4527,156.0,88.0,79.0,4.01793827621,5.7331478440999994,32.764809403499996,89.5382023125,89.9963533818,89.9891566524,-3.58872533333
90,InSCl_1,InSCl,1.8107175572499998,-4.81883269962,-3.00816730038,3.20106666667,-5.83880645161,-2.64419354839,2.81220639395,-7.631039093569999,-5.82037369433,2.85254812081,-8.69135457242,-5.4967416692,In,S,Cl,1,1.7,2.5,3.0,114.818,32.066,35.4527,156.0,88.0,79.0,3.9908908129400005,3.9908908129400005,20.2935722273,89.96234954379999,89.96234954379999,59.9969410357,-3.57023566667
91,InSBr_0,InSBr,1.7441971831,-5.22407719298,-3.4799228070199995,2.9376,-6.180838709680001,-3.24916129032,1.81731647113,-7.04139366411,-5.297239278149999,1.83189835925,-8.01273706893,-5.08105964957,In,S,Br,0,1.7,2.5,2.8,114.818,32.066,79.504,156.0,88.0,94.0,4.04915589669,5.71876955941,34.1661220461,89.6186196723,89.9968748887,89.99246201129999,-3.42627633333
92,InSBr_1,InSBr,1.19146285714,-4.00669318182,-2.8153068181800003,2.3280000000000003,-4.8577826087,-2.5382173913,2.58351693149,-6.59021011331,-5.398823749670001,2.61725643591,-7.47503904461,-5.15547382721,In,S,Br,1,1.7,2.5,2.8,114.818,32.066,79.504,156.0,88.0,94.0,4.00666393551,4.00666393551,20.7710072103,89.964056307,89.964056307,59.99785704600001,-3.40822666667
93,InSI_0,InSI,1.05458888889,-3.9287624309400004,-2.8742375690599995,2.07490909091,-4.708695652169999,-2.64130434783,2.0204114774,-5.949173908340001,-4.89464904646,2.03099754967,-6.73969320184,-4.6723018975,In,S,I,0,1.7,2.5,2.5,114.818,32.066,126.90447,156.0,88.0,115.0,4.13361742953,5.62386695556,35.497882638200004,89.6980325416,89.9992748753,89.9989419525,-3.24575166667
94,InSI_1,InSI,0.16575,-2.55412,-2.38888,1.1052,-3.20972727273,-2.12127272727,2.71333916099,-5.2674591609900006,-5.10221916099,2.73249659185,-5.94222386458,-4.8537693191199995,In,S,I,1,1.7,2.5,2.5,114.818,32.066,126.90447,156.0,88.0,115.0,4.07387474075,4.07387474075,21.1363847067,89.9681239675,89.9681239675,60.0057199297,-3.20604646667
