,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Phase index
20,SiAsCl_0,SiAsCl,2.3071461318099997,-4.13355428571,-1.8264457142900001,3.08947058824,-4.70621830986,-1.61678169014,3.737585624,5.53379280179,30.3322010929,89.5363247756,89.9986258573,89.9898038828,-4.497971,2.00599649612,-6.13955078183,-3.83244221041,2.01330330942,-6.71952161928,-3.63008499956,0
21,SiAsCl_1,SiAsCl,2.09233103448,-3.19614089347,-1.10385910653,2.85263085399,-3.72779395604,-0.8752060439560001,3.7251775530300004,3.7251775530300004,18.7337002898,89.9646429538,89.9646429538,60.0350117805,-4.49666766667,2.79522874245,-5.99136963592,-3.89908784898,2.79677498133,-6.524568937370001,-3.671981025286,1
22,SiAsBr_0,SiAsBr,2.13768656716,-3.99232440476,-1.8546755952400003,2.93591428571,-4.59094061758,-1.6550593824200002,3.7692770101599997,5.57623033968,31.371448471599997,89.5566834582,89.9972889322,89.9990720618,-4.2631974999999995,1.94883593318,-5.94116033794,-3.8035115284200005,1.95591564669,-6.546856264270001,-3.6109750291100005,0
23,SiAsBr_1,SiAsBr,1.93189855072,-3.07992418773,-1.14807581227,2.7080446927399997,-3.6545013927599994,-0.946498607242,3.7583103689699997,3.7583103689699997,19.4226254401,89.96564502940001,89.96564502940001,60.035742488900006,-4.248858,2.64524794663,-5.72517213436,-3.7933237589,2.65085040624,-6.305351798999999,-3.597349013482,1
24,SiAsI_0,SiAsI,1.40643442623,-3.05669387755,-1.65030612245,2.19260115607,-3.65428242075,-1.4617175792500001,3.8549436146,5.58672065716,32.6153349092,89.640173046,89.99993768450001,89.99990511610001,-4.01541316667,2.19963917547,-5.2563330530200005,-3.84994529792,2.20358094533,-5.85786336608,-3.6652985245800003,0
25,SiAsI_1,SiAsI,0.8966285714290001,-1.9032695035499998,-1.00673049645,1.7676498054499998,-2.49679844961,-0.729201550388,3.8401794816900003,3.8401794816900003,20.1148149975,89.9670110784,89.9670110784,60.0326015017,-3.96237466667,3.03157976125,-4.9348492648,-4.0383102577,3.04496815885,-5.54176660846,-3.7741697092380004,1
26,SiSbF_0,SiSbF,1.44349693252,-3.25669512195,-1.81330487805,2.16331531532,-3.7886143497800004,-1.6253856502200001,4.04550011458,5.52560471434,25.5249029088,88.87063449809999,89.86401434620001,89.9523602837,-4.88281333333,2.2375032017,-5.49419832365,-4.05080807975,2.24943945095,-6.038053800730001,-3.8748251011700003,0
27,SiSbF_1,SiSbF,1.54865853659,-3.18927272727,-1.64072727273,2.2204651162799998,-3.7311851851899998,-1.51081481481,4.041537999119999,4.041537999119999,17.315251463,89.92645521819999,89.92645521819999,60.253760453299996,-4.86274966667,3.00924599989,-6.19851872716,-4.6499732726200005,3.0342505836,-6.76543576879,-4.54506539841,1
28,SiSbCl_0,SiSbCl,1.650796875,-3.5003735408599996,-1.84962645914,2.34018292683,-4.01706990881,-1.6769300911899998,4.05472301284,5.91788191477,31.011719218699998,89.535865664,89.99537261110001,89.9973981763,-4.17099516667,2.06416596606,-5.564539506919999,-3.9137924252,2.06954859546,-6.08661850427,-3.7464786866499997,0
29,SiSbCl_1,SiSbCl,1.4889150943399998,-2.73092488263,-1.24207511737,2.14219285714,-3.2215693950200004,-1.07943060498,4.0421280893,4.0421280893,19.4418777624,89.9603941848,89.9603941848,60.0494121045,-4.16231933333,2.87575275973,-5.60667764236,-4.1178278771,2.87432277755,-6.09589217257,-3.9537533825300004,1
30,SiSbBr_0,SiSbBr,1.5813543307100002,-3.4861529411800003,-1.90484705882,2.2646424242400003,-4.023800604230001,-1.7591993957700003,4.07585166359,5.99379273304,31.944236441399998,89.5393111326,89.9917516691,89.99892373680001,-3.9510004999999997,2.01110177387,-5.49725471505,-3.91594883269,2.01823252343,-6.042033127660001,-3.7774319192000005,0
31,SiSbBr_1,SiSbBr,1.40450485437,-2.67071980676,-1.26628019324,2.06660498221,-3.18727659574,-1.12072340426,4.05725635748,4.05725635748,20.1624369508,89.9628760748,89.9628760748,60.0479806772,-3.9361589999999995,2.73775150527,-5.4084713120300005,-4.0040316985099995,2.73885283831,-5.926129434050001,-3.85957624257,1
32,SiSbI_0,SiSbI,1.3619392712600003,-3.00644758065,-1.64455241935,2.03816816817,-3.5440658682599997,-1.50593413174,4.13129920827,6.06989905507,33.0259017749,89.575606336,89.9980584515,89.9986915057,-3.7298025000000004,2.21836108093,-5.22480866158,-3.86291350028,2.22317162188,-5.767237490139999,-3.72910575362,0
